S10,Lg710,S9,S7
17,19,42,25
10,20,39,21
12,18,28,12
9,19,32,32
10,14,31,22
9,15,32,24
10,16,31,24
9,17,29,19
13,17,29,23
12,18,29,24
10,17,32,18
9,15,40,25
11,13,37,23
9,14,30,20
8,17,31,23
10,16,29,20
11,17,30,22
10,16,30,23
10,15,30,21
11,16,37,20
10,16,24,26
10,16,27,21
8,16,27,23
11,15,24,25
11,15,26,11
11,15,27,19
12,16,24,20
9,16,25,23
11,15,22,25
8,15,26,19
9,14,25,28
9,17,26,19
10,14,24,10
8,16,24,18
8,14,27,23
11,16,27,20
9,15,27,19
8,12,29,20
10,14,24,18
9,15,23,20
9,15,24,25
10,15,22,18
10,11,24,20
10,17,25,23
11,14,22,13
11,12,22,19
12,13,22,19
11,14,22,19
8,13,22,17
7,14,23,18